Region_class;Sv_mean;NASC;Height_mean;Depth_mean;Date_M;Time_M;Lat_M;Lon_M;Standard_deviation;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;Coefficient_of_variation;X3D_school_area;X3D_school_volume
 ANCG;-60.512247;19.908052;0.519711;1.553042;20170306; 08:12:31.32;-18.29721667;-70.63338333;8.19E-07;2.310524;6.157927;7.178845;0.882795;16.483603;2.594726;8.333031;-62.048288;131.181092;25.349789;1.503475
 ANCG;-58.526753;31.446928;0.519711;6.668944;20170306; 08:12:45.72;-18.29717868;-70.63350465;1.70E-06;1.59012;1.228878;6.279735;0.785349;14.19339;2.20115;7.283041;-60.143782;175.825709;19.727137;0.83709
 ANCG;-56.195006;94.143633;0.909494;1.68442;20170306; 08:13:04.93;-18.29713333;-70.63366033;2.33E-06;1.56393;2.529298;6.005881;1.175132;18.472873;4.114305;6.600283;-57.368895;127.334502;28.230815;3.033054
 ANCG;-63.352519;8.062194;0.404775;5.900882;20170306; 08:13:21.73;-18.29711202;-70.63378333;3.84E-07;1.484955;3.423472;26.438586;1.272578;63.09607;8.619077;36.756486;-64.479846;107.713789;134.580641;3.882431
 ANCG;-56.301597;59.053598;0.584675;2.820513;20170306; 08:14:14.53;-18.29703333;-70.63440263;2.74E-06;2.112732;4.650485;12.561165;0.980241;26.832667;5.264334;10.883645;-57.690804;160.810027;49.251858;2.154346
 ANCG;-60.701188;23.944777;0.652887;3.999639;20170306; 08:15:14.53;-18.29696667;-70.63570386;8.72E-07;2.056397;4.195342;63.214591;1.662361;159.026976;33.72628;59.670997;-61.590762;125.84443;420.341872;17.254424
 ANCG;-59.084049;28.524138;0.535952;4.265467;20170306; 08:15:36.13;-18.29693333;-70.63626309;8.79E-07;0.816706;-0.498311;24.628463;0.687903;51.200108;8.440242;24.715933;-60.978185;110.110902;67.768009;2.438441
 ANCG;-62.747418;11.155345;0.487229;4.398052;20170306; 08:16:14.53;-18.29691187;-70.63709314;3.88E-07;0.962636;0.417194;32.184459;0.785349;77.39443;10.425437;45.720952;-64.460875;108.260397;101.104145;3.554392
 ANCG;-60.15547;31.608393;0.760077;4.844803;20170306; 08:18:09.74;-18.29673235;-70.63933925;1.03E-06;2.532754;6.664409;21.912448;1.175132;64.900553;12.552523;26.702745;-61.349126;140.258964;103.000087;6.813674
 ANCG;-61.571056;19.744811;0.657759;3.388947;20170306; 08:18:43.34;-18.29666667;-70.63991549;3.87E-07;1.085635;0.459545;17.260209;0.882795;62.493293;7.912072;39.279572;-63.113514;79.315349;60.948895;1.734869
 ANCG;-57.755318;54.714323;0.757079;4.372034;20170306; 08:19:45.74;-18.29653333;-70.64090361;2.19E-06;2.782413;8.999187;106.988413;1.857252;272.934876;67.277125;88.113161;-58.558904;157.371036;794.817977;40.061595
 ANCG;-62.870337;17.350465;0.779566;5.59095;20170306; 08:20:28.94;-18.29644183;-70.64158268;2.32E-07;-0.136922;-1.18011;7.950692;0.785349;26.096218;4.162713;13.018737;-64.550263;66.005178;24.976275;1.51877
 ANCG;-61.401374;22.305851;0.714602;3.450466;20170306; 08:21:07.34;-18.29636667;-70.6422;5.05E-07;1.111819;0.402533;12.114028;0.882795;25.77658;6.110778;8.652553;-62.935042;99.180857;42.776808;2.898233
 ANCG;-59.515158;36.715103;0.761849;4.697792;20170306; 08:21:33.74;-18.29631667;-70.64263801;1.45E-06;2.350678;5.634491;43.473782;1.954698;103.116122;27.423963;30.854113;-60.271998;154.601619;339.912502;20.591359
 ANCG;-52.279267;211.225835;0.828289;1.759756;20170306; 08:28:31.36;-18.29558333;-70.64815;8.19E-06;2.536377;8.028813;10.844623;1.564915;23.542049;6.51958;6.764863;-53.188075;170.714916;67.883663;5.550509
 ANCG;-58.628837;36.475686;0.617156;4.272227;20170306; 08:30:38.56;-18.2954;-70.65011934;1.29E-06;1.242634;0.801166;11.366364;1.077686;40.663755;5.171916;25.442138;-59.895992;125.639698;48.997506;1.551334
 ANCG;-58.522496;38.363528;0.633397;4.460017;20170306; 08:31:02.56;-18.29538068;-70.65048598;1.28E-06;1.130165;0.278809;7.586594;0.687903;24.474247;3.083977;15.45602;-60.372549;139.64583;20.875374;0.897202
 ANCG;-60.997061;16.0247;0.46774;3.812565;20170306; 08:31:24.16;-18.29536667;-70.65081667;8.00E-07;1.261836;-0.035343;20.736261;0.882795;52.163805;6.750811;32.075448;-62.538397;143.514838;73.223461;1.580465
 ANCG;-60.017784;52.983262;1.234313;4.80305;20170306; 08:22:28.95;-18.29623333;-70.64347701;9.47E-07;1.196674;0.453941;11.451851;1.759807;74.054282;11.599761;37.621963;-60.821119;114.365713;80.612175;3.835541
 ANCG;-56.570108;67.849311;0.714602;5.06718;20170306; 08:23:40.95;-18.29611667;-70.64457702;3.44E-06;2.496919;5.424279;12.532256;1.272578;26.958841;6.667137;8.674674;-57.648027;199.969217;63.793091;3.110146
 ANCG;-59.164469;35.63739;0.68212;4.148405;20170306; 08:25:45.75;-18.29591667;-70.64647132;1.66E-06;2.256562;5.283423;10.717769;0.980241;30.795732;5.24681;14.383874;-60.544858;187.84964;42.02397;2.290509
 ANCG;-60.45385;28.374688;0.730843;4.605936;20170306; 08:26:28.95;-18.29585634;-70.64709366;9.47E-07;2.590539;8.081267;14.593753;1.467469;47.234087;8.477019;20.943923;-61.420919;131.334691;85.663544;3.348987
 ANCG;-55.537726;76.277335;0.633397;6.656295;20170306; 08:02:00.10;-18.2978474;-70.61766147;3.13E-06;1.330573;0.699621;13.889377;0.785349;29.581367;5.828909;11.946462;-57.187534;163.663312;43.632041;3.334269
 ANCG;-56.033108;172.753916;1.607855;6.333974;20170306; 08:03:04.90;-18.2978;-70.61956032;2.58E-06;1.75427;2.813038;14.330872;1.759807;32.037944;18.854993;4.332046;-56.817018;123.737607;100.878257;21.662015
 ANCG;-61.826458;19.306656;0.68212;1.489528;20170306; 08:34:43.37;-18.29508961;-70.65386014;4.21E-07;0.588924;-1.126543;8.317273;0.687903;26.384799;3.640942;15.215421;-63.729488;99.24888;22.885921;1.609463
 ANCG;-59.115254;38.618075;0.730843;4.001773;20170306; 08:36:02.57;-18.29494735;-70.65503599;1.28E-06;1.541427;1.517604;7.573291;0.687903;16.381962;3.567353;5.98654;-60.973505;160.306165;20.838769;1.604701
 ANCG;-58.354232;36.811442;0.584675;1.607855;20170306; 08:37:04.98;-18.29485;-70.65601034;1.56E-06;1.455611;1.019292;7.446624;0.785349;24.162881;2.918613;15.918827;-60.043342;157.726183;23.392799;0.624988
 ANCG;-58.493497;53.4746;0.877012;3.892417;20170306; 08:38:55.38;-18.29473333;-70.65748406;2.16E-06;3.035373;9.422528;22.910687;2.247036;65.654896;17.402532;19.711149;-59.14536;177.082884;205.924513;10.4745
 ANCG;-58.299181;36.038335;0.565185;4.190168;20170306; 08:39:21.78;-18.2947;-70.65787361;1.67E-06;1.921859;3.431687;18.907164;0.882795;57.096255;7.315111;35.463733;-59.827063;160.947708;66.76459;1.966621
 ANCG;-64.404441;6.474401;0.414144;3.995276;20170306; 08:40:28.98;-18.29462107;-70.65887893;1.93E-07;0.803206;-0.416225;15.568628;0.687903;32.365218;4.133518;20.166355;-66.321568;82.870358;42.838847;0.870803
 ANCG;-64.857136;9.608137;0.68212;4.385059;20170306; 08:40:57.78;-18.29461667;-70.65930539;1.17E-07;0.659045;-0.807797;7.518219;0.882795;31.823415;3.573804;22.550333;-66.419814;51.519889;26.548181;0.789654
 ANCG;-50.162064;232.657064;0.560313;1.47016;20170306; 08:44:38.59;-18.29427126;-70.66242126;1.40E-05;2.082927;3.774022;15.416748;0.687903;33.49467;5.534;16.132526;-52.055447;224.361763;42.42093;2.264841
 ANCG;-62.824702;10.520245;0.46774;3.694818;20170306; 08:47:24.20;-18.29403333;-70.66478074;3.27E-07;0.970974;0.163361;18.546691;1.272578;54.850905;6.678298;35.850229;-63.950124;81.205561;94.408436;1.801283
 ANCG;-58.871349;38.125708;0.68212;1.475607;20170306; 08:49:19.40;-18.29386667;-70.6664;9.28E-07;1.096631;0.872769;7.241055;0.687903;15.979444;3.153057;6.444388;-60.76099;110.578219;19.924583;1.434161
 ANCG;-61.528229;17.724872;0.584675;2.506521;20170306; 08:50:02.60;-18.29378333;-70.66698791;5.49E-07;0.789616;-1.172474;10.469557;0.980241;30.55701;4.423831;16.79629;-62.933643;107.940843;41.050741;1.32829
 ANCG;-64.283907;14.879477;0.925735;5.569794;20170306; 08:50:36.20;-18.29373333;-70.66746599;2.29E-07;2.194111;5.324651;7.584162;0.882795;31.825854;4.892513;16.474728;-65.826363;87.754822;26.781037;1.771033
 ANCG;-61.264516;26.15905;0.812048;5.589489;20170306; 08:51:33.81;-18.29366667;-70.66827359;5.85E-07;1.660705;2.07015;11.005686;1.564915;40.304353;7.099314;18.208647;-62.164636;96.336014;68.891859;3.739507
 ANCG;-62.413845;19.273487;0.779566;3.855198;20170306; 08:51:50.61;-18.29367124;-70.66850458;3.43E-07;1.173189;0.568504;7.18825;0.687903;30.076901;3.586084;20.074089;-64.295125;92.186788;19.779285;0.812941
 ANCG;-45.906815;1185.675727;1.071903;1.559132;20170306; 08:52:21.81;-18.29362641;-70.66895;3.43E-05;1.461814;1.006055;3.50667;0.687903;8.467642;2.41225;2.365336;-47.733409;203.406797;9.649001;1.303286
 ANCG;-64.996581;7.310707;0.535952;6.626312;20170306; 08:54:00.21;-18.29346667;-70.67029934;1.58E-07;1.406811;0.832779;7.367643;0.687903;16.46494;2.503768;8.616212;-66.91872;77.809693;20.272905;0.719086
